CAMEL_ID_NUMBER,ISOLATE_ID,Community,Boma,LPS,AGE,Gender,Sample_Type,Transport_media,mo,Colony_Morphology,Gram_staining,IMVIC_Test,AMC,AMP,CAZ,CTX,CRO,CXM,FEP,CEC,TCY,GEN,STR1,CHL,CIP,SXT,NOR,MDR,TEM,SHV,CTX_M,OXA
191,191-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,R,S,R,I,S,I,S,S,1,NEG,NEG,NEG,NEG
192,192-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Round, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,I,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
193,193-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
194,194-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,I,S,S,I,S,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
195,195-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
196,196-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
197,197-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,S,I,S,S,S,S,S,S,,TEM-116,NEG,NEG,NEG
198,198-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Large, Round, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,,NEG,NEG,NEG,NEG
199,199-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
200,200-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Large, Round, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
201,201-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Flat, Dry, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,I,S,I,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
202,202-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Flat, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,R,R,I,S,S,I,S,S,S,S,S,S,S,4,NEG,NEG,NEG,NEG
203,203-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Dry, Flat, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,R,S,I,I,I,S,S,I,S,I,S,S,4,TEM-116,NEG,NEG,NEG
204,204-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
205,205-1a,Ext.A,,Extensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
206,206-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Dry, Flat, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,R,S,I,I,I,S,I,S,S,I,S,S,4,TEM-243,NEG,NEG,NEG
207,207-1a,Ext.A,,Extensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Irregular, Dry, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
208,208-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big,Irregular, Elevated Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,I,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
209,209-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,I,S,S,S,S,S,I,S,S,S,S,,NEG,NEG,NEG,NEG
210,210-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"large, Irregular, Pink Colony",Gram -ve rods,POSITIVE,S,S,I,I,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
211,211-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,"Small, Irregular, Pink Colony",Gram -ve rods,Negative,,,,,,,,,,,,,,,,,,,,
212,212-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Dry, Flat, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
213,213-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular,Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
214,214-1a,Ext.A,,Extensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Small, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,R,R,S,S,I,I,S,S,S,S,I,S,S,3,TEM-116,NEG,NEG,NEG
215,215-1a,Ext.A,Loruba,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,R,R,R,R,R,R,R,S,S,S,S,I,R,S,7,NEG,NEG,CTX-M-27,NEG
216,216-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Flat, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
217,217-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
218,218-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Big, Round, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
219,219-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
220,220-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
221,221-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Raised, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
222,222-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
223,223-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
224,224-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
225,225-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
226,226-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
227,227-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
228,228-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
229,229-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
230,230-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,1,NEG,NEG,NEG,NEG
231,231-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
232,232-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
233,233-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
234,234-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
235,235-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
236,236-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
237,237-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
238,238-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
239,239-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Raised, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
240,240-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
241,241-1a,Int.C,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Big, Flat, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,S,S,I`,I,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
242,242-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
243,243-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Dry, Flat, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,I,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
244,244-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
245,245-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
246,246-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Flat, Dry, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,R,I,S,S,S,S,S,S,S,2,TEM-116,NEG,NEG,NEG
247,247-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,R,S,I,I,I,S,S,S,S,S,S,S,5,NEG,NEG,NEG,NEG
248,248-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Round, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
249,249-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Round, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,R,S,S,S,S,I,S,S,1,NEG,NEG,NEG,NEG
250,250-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Dry, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
251,251-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
252,252-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big,Round, Irregular, Dry, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,R,R,S,S,I,S,S,S,S,S,S,S,S,2,TEM-116,NEG,NEG,NEG
253,253-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
254,254-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
255,255-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Round, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,I,I,I,R,S,I,S,S,S,S,S,S,S,1,TEM-116,NEG,NEG,NEG
256,256-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
257,257-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Flat, Irregular Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
258,258-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
259,259-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Pink, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,1,NEG,NEG,NEG,NEG
260,260-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
261,261-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big,Irregular, Elevated Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,I,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
262,262-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round,Dry,  Smooth Margin, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,R,S,R,S,I,S,S,S,S,I,S,S,3,NEG,NEG,NEG,NEG
263,263-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,R,S,S,I,I,S,S,S,S,S,S,S,2,NEG,NEG,NEG,NEG
264,264-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Dry, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
265,265-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
266,266-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
267,267-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
268,268-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
269,269-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small,Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
270,270-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,I,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
271,271-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,R,S,S,S,S,I,S,S,1,NEG,NEG,NEG,NEG
272,272-1a,Int.C,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
273,273-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
274,274-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
275,275-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
276,276-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
277,277-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Big, Irregular, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,I,S,S,I,I,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
278,278-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
279,279-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
280,280-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
281,281-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
282,282-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Big, Round, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
283,283-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
284,284-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
285,285-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Small,Round, Raised Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
286,286-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
287,287-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Small,Round, Raised Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
288,288-1a,Int.D,,Intensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
289,289-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
290,290-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
291,291-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Large, Round, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,R,S,S,S,S,I,S,S,1,NEG,NEG,NEG,NEG
292,292-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
293,293-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
294,294-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Large, Round, Irregular, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,S,S,S,I,S,S,S,S,I,S,S,,NEG,NEG,NEG,NEG
295,295-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
296,296-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,"Small,Regular , Dry, Pink Colony",Gram -ve rods,Negative,,,,,,,,,,,,,,,,,,,,
297,297-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,"Small,Round , Irregular, flat ,Pink colony",Gram -ve rods,Negative,,,,,,,,,,,,,,,,,,,,
298,298-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
299,299-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
300,300-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,I,S,S,I,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
301,301-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ," Small, Round, Lactose Fermenter",Gram -ve rods,POSITIVE,S,R,R,R,R,R,R,R,I,S,I,S,I,S,S,7,TEM-1A,NEG,CTX-M-15,NEG
302,302-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Irregular, Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,S,I,S,S,S,R,S,S,I,S,I,I,S,1,NEG,NEG,NEG,NEG
303,303-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small,Round, Raised Lactose Fermenters",Gram -ve rods,POSITIVE,S,S,I,S,S,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
304,304-1a,Int.D,,Intensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Small, Round, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,S,I,S,S,I,S,S,S,S,S,S,S,,NEG,NEG,NEG,NEG
