CAMEL_ID_NUMBER,ISOLATE_ID,Community,Boma,LPS,AGE,Gender,Sample_Type,Transport_media,mo,Colony_Morphology,Gram_staining,IMVIC_Test,AMC,AMP,CAZ,CTX,CRO,CXM,FEP,CEC,TCY,GEN,STR1,CHL,CIP,SXT,NOR,MDR,TEM,SHV,CTX_M,OXA
113,113-1a,Ext.A,Jeremy,Extensive,Adult,Male,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
114,114-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
115,115-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
116,116-1a,Ext.A,Jeremy,Extensive,Adult,Male,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
117,117-1a,Ext.A,Jeremy,Extensive,Adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
118,118-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
119,119-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
120,120-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
121,121-1a,Ext.A,Kishine,Extensive,Adult,Male,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
122,122-1a,Ext.A,Kishine,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
123,123-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Pale Pink With A Deep Pink At The Centre,Flat, Irregular Colonies",Gram -ve rods,POSITIVE,S,R,I,I,S,I,I,R,S,S,S,S,I,S,S,6,NEG,NEG,NEG,NEG
124,124-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
125,125-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
126,126-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
127,127-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
128,128-1a,Ext.A,Jeremy,Extensive,Juvenile,Male,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
129,129-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,,,,,,,,,,,,,,,,,,,,,
130,130-1a,Ext.A,,Extensive,Juvenile,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
131,131-1a,Ext.A,Jeremy,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big,Irregular, Elevated Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,0,NEG,NEG,NEG,NEG
132,132-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
133,133-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
134,134-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
135,135-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
136,136-1a,Ext.A,,Extensive,Sub-adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
137,137-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
138,138-1a,Ext.A,,Extensive,Sub-adult,Male,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
